Wiederholung,Speicher Liste gesamt,Speicher Array gesamt,Speicherveraenderung Liste,Speicherveraenderung Array,Gesamtlaufzeit Liste,Gesamtlaufzeit Array,Gesamtlaufzeitveraenderung Liste,Gesamtlaufzeitveraenderung Array
1,88,112,32,8,4.76837158203125e-07,1.5974044799804688e-05,4.76837158203125e-07,1.5974044799804688e-05
2,88,120,0,8,9.5367431640625e-07,2.288818359375e-05,4.76837158203125e-07,6.9141387939453125e-06
3,88,128,0,8,1.1920928955078125e-06,2.8371810913085938e-05,2.384185791015625e-07,5.4836273193359375e-06
4,88,136,0,8,1.430511474609375e-06,3.361701965332031e-05,2.384185791015625e-07,5.245208740234375e-06
5,120,144,32,8,1.6689300537109375e-06,3.8623809814453125e-05,2.384185791015625e-07,5.0067901611328125e-06
6,120,152,0,8,1.6689300537109375e-06,4.363059997558594e-05,0.0,5.0067901611328125e-06
7,120,160,0,8,1.9073486328125e-06,4.863739013671875e-05,2.384185791015625e-07,5.0067901611328125e-06
8,120,168,0,8,1.9073486328125e-06,5.316734313964844e-05,0.0,4.5299530029296875e-06
9,184,176,64,8,2.384185791015625e-06,5.793571472167969e-05,4.76837158203125e-07,4.76837158203125e-06
10,184,184,0,8,2.384185791015625e-06,6.246566772460938e-05,0.0,4.5299530029296875e-06
11,184,192,0,8,2.384185791015625e-06,6.67572021484375e-05,0.0,4.291534423828125e-06
12,184,200,0,8,2.86102294921875e-06,7.104873657226562e-05,4.76837158203125e-07,4.291534423828125e-06
13,184,208,0,8,2.86102294921875e-06,7.534027099609375e-05,0.0,4.291534423828125e-06
14,184,216,0,8,2.86102294921875e-06,7.963180541992188e-05,0.0,4.291534423828125e-06
15,184,224,0,8,3.0994415283203125e-06,0.00010466575622558594,2.384185791015625e-07,2.5033950805664062e-05
16,184,232,0,8,3.337860107421875e-06,0.000110626220703125,2.384185791015625e-07,5.9604644775390625e-06
17,256,240,72,8,3.5762786865234375e-06,0.00011587142944335938,2.384185791015625e-07,5.245208740234375e-06
18,256,248,0,8,3.814697265625e-06,0.00012063980102539062,2.384185791015625e-07,4.76837158203125e-06
19,256,256,0,8,3.814697265625e-06,0.00012540817260742188,0.0,4.76837158203125e-06
20,256,264,0,8,4.0531158447265625e-06,0.00013017654418945312,2.384185791015625e-07,4.76837158203125e-06
21,256,272,0,8,4.291534423828125e-06,0.0001347064971923828,2.384185791015625e-07,4.5299530029296875e-06
22,256,280,0,8,4.5299530029296875e-06,0.00013947486877441406,2.384185791015625e-07,4.76837158203125e-06
23,256,288,0,8,4.5299530029296875e-06,0.0001437664031982422,0.0,4.291534423828125e-06
24,256,296,0,8,4.76837158203125e-06,0.0001480579376220703,2.384185791015625e-07,4.291534423828125e-06
25,256,304,0,8,4.76837158203125e-06,0.00015282630920410156,0.0,4.76837158203125e-06
26,336,312,80,8,5.245208740234375e-06,0.0001571178436279297,4.76837158203125e-07,4.291534423828125e-06
27,336,320,0,8,5.4836273193359375e-06,0.00016164779663085938,2.384185791015625e-07,4.5299530029296875e-06
28,336,328,0,8,5.4836273193359375e-06,0.00016641616821289062,0.0,4.76837158203125e-06
29,336,336,0,8,5.7220458984375e-06,0.00017118453979492188,2.384185791015625e-07,4.76837158203125e-06
30,336,344,0,8,6.198883056640625e-06,0.00017547607421875,4.76837158203125e-07,4.291534423828125e-06
31,336,352,0,8,6.67572021484375e-06,0.00017976760864257812,4.76837158203125e-07,4.291534423828125e-06
32,336,360,0,8,6.67572021484375e-06,0.00018405914306640625,0.0,4.291534423828125e-06
33,336,368,0,8,6.67572021484375e-06,0.00018835067749023438,0.0,4.291534423828125e-06
34,336,376,0,8,6.67572021484375e-06,0.00019288063049316406,0.0,4.5299530029296875e-06
35,336,384,0,8,6.9141387939453125e-06,0.0001976490020751953,2.384185791015625e-07,4.76837158203125e-06
36,424,392,88,8,7.152557373046875e-06,0.000202178955078125,2.384185791015625e-07,4.5299530029296875e-06
37,424,400,0,8,7.152557373046875e-06,0.00020647048950195312,0.0,4.291534423828125e-06
38,424,408,0,8,7.152557373046875e-06,0.0002110004425048828,0.0,4.5299530029296875e-06
39,424,416,0,8,7.152557373046875e-06,0.0002155303955078125,0.0,4.5299530029296875e-06
40,424,424,0,8,7.3909759521484375e-06,0.00021982192993164062,2.384185791015625e-07,4.291534423828125e-06
41,424,432,0,8,7.3909759521484375e-06,0.0002243518829345703,0.0,4.5299530029296875e-06
42,424,440,0,8,7.3909759521484375e-06,0.00022864341735839844,0.0,4.291534423828125e-06
