Wiederholung,Speicher Liste gesamt,Speicher Array gesamt,Speicherveraenderung Liste,Speicherveraenderung Array,Gesamtlaufzeit Liste,Gesamtlaufzeit Array,Gesamtlaufzeitveraenderung Liste,Gesamtlaufzeitveraenderung Array
1,88,112,32,8,4.76837158203125e-07,1.5974044799804688e-05,4.76837158203125e-07,1.5974044799804688e-05
2,88,120,0,8,7.152557373046875e-07,2.288818359375e-05,2.384185791015625e-07,6.9141387939453125e-06
3,88,128,0,8,7.152557373046875e-07,2.8371810913085938e-05,0.0,5.4836273193359375e-06
4,88,136,0,8,9.5367431640625e-07,3.361701965332031e-05,2.384185791015625e-07,5.245208740234375e-06
5,120,144,32,8,1.1920928955078125e-06,3.8623809814453125e-05,2.384185791015625e-07,5.0067901611328125e-06
6,120,152,0,8,1.1920928955078125e-06,4.363059997558594e-05,0.0,5.0067901611328125e-06
7,120,160,0,8,1.1920928955078125e-06,4.839897155761719e-05,0.0,4.76837158203125e-06
8,120,168,0,8,1.430511474609375e-06,5.316734313964844e-05,2.384185791015625e-07,4.76837158203125e-06
9,184,176,64,8,1.6689300537109375e-06,5.7697296142578125e-05,2.384185791015625e-07,4.5299530029296875e-06
10,184,184,0,8,2.1457672119140625e-06,6.222724914550781e-05,4.76837158203125e-07,4.5299530029296875e-06
11,184,192,0,8,2.1457672119140625e-06,6.651878356933594e-05,0.0,4.291534423828125e-06
12,184,200,0,8,2.1457672119140625e-06,7.081031799316406e-05,0.0,4.291534423828125e-06
13,184,208,0,8,2.1457672119140625e-06,7.534027099609375e-05,0.0,4.5299530029296875e-06
14,184,216,0,8,2.1457672119140625e-06,7.987022399902344e-05,0.0,4.5299530029296875e-06
15,184,224,0,8,2.384185791015625e-06,8.416175842285156e-05,2.384185791015625e-07,4.291534423828125e-06
16,184,232,0,8,2.384185791015625e-06,8.821487426757812e-05,0.0,4.0531158447265625e-06
17,256,240,72,8,2.6226043701171875e-06,9.250640869140625e-05,2.384185791015625e-07,4.291534423828125e-06
18,256,248,0,8,2.86102294921875e-06,9.703636169433594e-05,2.384185791015625e-07,4.5299530029296875e-06
19,256,256,0,8,3.0994415283203125e-06,0.00010132789611816406,2.384185791015625e-07,4.291534423828125e-06
20,256,264,0,8,3.0994415283203125e-06,0.00010585784912109375,0.0,4.5299530029296875e-06
21,256,272,0,8,3.0994415283203125e-06,0.00011014938354492188,0.0,4.291534423828125e-06
22,256,280,0,8,3.0994415283203125e-06,0.00011444091796875,0.0,4.291534423828125e-06
23,256,288,0,8,3.337860107421875e-06,0.00011873245239257812,2.384185791015625e-07,4.291534423828125e-06
24,256,296,0,8,3.337860107421875e-06,0.00012302398681640625,0.0,4.291534423828125e-06
25,256,304,0,8,3.5762786865234375e-06,0.00012755393981933594,2.384185791015625e-07,4.5299530029296875e-06
26,336,312,80,8,4.0531158447265625e-06,0.00013184547424316406,4.76837158203125e-07,4.291534423828125e-06
27,336,320,0,8,4.291534423828125e-06,0.0001361370086669922,2.384185791015625e-07,4.291534423828125e-06
28,336,328,0,8,4.5299530029296875e-06,0.00014066696166992188,2.384185791015625e-07,4.5299530029296875e-06
29,336,336,0,8,4.76837158203125e-06,0.00014495849609375,2.384185791015625e-07,4.291534423828125e-06
30,336,344,0,8,4.76837158203125e-06,0.00014972686767578125,0.0,4.76837158203125e-06
31,336,352,0,8,4.76837158203125e-06,0.00015425682067871094,0.0,4.5299530029296875e-06
32,336,360,0,8,5.0067901611328125e-06,0.00015854835510253906,2.384185791015625e-07,4.291534423828125e-06
33,336,368,0,8,5.0067901611328125e-06,0.0001628398895263672,0.0,4.291534423828125e-06
34,336,376,0,8,5.245208740234375e-06,0.0001671314239501953,2.384185791015625e-07,4.291534423828125e-06
35,336,384,0,8,5.245208740234375e-06,0.00017142295837402344,0.0,4.291534423828125e-06
36,424,392,88,8,5.4836273193359375e-06,0.00017595291137695312,2.384185791015625e-07,4.5299530029296875e-06
37,424,400,0,8,5.4836273193359375e-06,0.00018024444580078125,0.0,4.291534423828125e-06
38,424,408,0,8,5.4836273193359375e-06,0.00018453598022460938,0.0,4.291534423828125e-06
39,424,416,0,8,5.7220458984375e-06,0.0001888275146484375,2.384185791015625e-07,4.291534423828125e-06
40,424,424,0,8,5.7220458984375e-06,0.00019311904907226562,0.0,4.291534423828125e-06
41,424,432,0,8,6.198883056640625e-06,0.00019741058349609375,4.76837158203125e-07,4.291534423828125e-06
42,424,440,0,8,6.4373016357421875e-06,0.00020170211791992188,2.384185791015625e-07,4.291534423828125e-06
43,424,448,0,8,6.67572021484375e-06,0.00020599365234375,2.384185791015625e-07,4.291534423828125e-06
44,424,456,0,8,6.67572021484375e-06,0.0002105236053466797,0.0,4.5299530029296875e-06
45,424,464,0,8,6.67572021484375e-06,0.0002148151397705078,0.0,4.291534423828125e-06
46,424,472,0,8,6.9141387939453125e-06,0.00021886825561523438,2.384185791015625e-07,4.0531158447265625e-06
47,520,480,96,8,7.152557373046875e-06,0.00022363662719726562,2.384185791015625e-07,4.76837158203125e-06
48,520,488,0,8,7.152557373046875e-06,0.0002281665802001953,0.0,4.5299530029296875e-06
49,520,496,0,8,7.152557373046875e-06,0.00023245811462402344,0.0,4.291534423828125e-06
50,520,504,0,8,7.3909759521484375e-06,0.00023674964904785156,2.384185791015625e-07,4.291534423828125e-06
51,520,512,0,8,7.3909759521484375e-06,0.0002410411834716797,0.0,4.291534423828125e-06
52,520,520,0,8,7.62939453125e-06,0.0002453327178955078,2.384185791015625e-07,4.291534423828125e-06
53,520,528,0,8,7.62939453125e-06,0.00024962425231933594,0.0,4.291534423828125e-06
54,520,536,0,8,7.62939453125e-06,0.00025391578674316406,0.0,4.291534423828125e-06
55,520,544,0,8,7.62939453125e-06,0.00025844573974609375,0.0,4.5299530029296875e-06
56,520,552,0,8,7.62939453125e-06,0.0002627372741699219,0.0,4.291534423828125e-06
57,520,560,0,8,7.867813110351562e-06,0.00026702880859375,2.384185791015625e-07,4.291534423828125e-06
58,520,568,0,8,7.867813110351562e-06,0.00027108192443847656,0.0,4.0531158447265625e-06
59,632,576,112,8,8.344650268554688e-06,0.0002753734588623047,4.76837158203125e-07,4.291534423828125e-06
60,632,584,0,8,8.344650268554688e-06,0.0002799034118652344,0.0,4.5299530029296875e-06
61,632,592,0,8,8.344650268554688e-06,0.0002841949462890625,0.0,4.291534423828125e-06
62,632,600,0,8,8.58306884765625e-06,0.0002884864807128906,2.384185791015625e-07,4.291534423828125e-06
63,632,608,0,8,8.821487426757812e-06,0.0002930164337158203,2.384185791015625e-07,4.5299530029296875e-06
64,632,616,0,8,9.059906005859375e-06,0.00029754638671875,2.384185791015625e-07,4.5299530029296875e-06
65,632,624,0,8,9.059906005859375e-06,0.0003018379211425781,0.0,4.291534423828125e-06
66,632,632,0,8,9.298324584960938e-06,0.00030612945556640625,2.384185791015625e-07,4.291534423828125e-06
67,632,640,0,8,9.298324584960938e-06,0.0003104209899902344,0.0,4.291534423828125e-06
68,632,648,0,8,9.298324584960938e-06,0.00031447410583496094,0.0,4.0531158447265625e-06
69,632,656,0,8,9.5367431640625e-06,0.0003190040588378906,2.384185791015625e-07,4.5299530029296875e-06
70,632,664,0,8,9.5367431640625e-06,0.0003306865692138672,0.0,1.1682510375976562e-05
71,632,672,0,8,9.775161743164062e-06,0.00033664703369140625,2.384185791015625e-07,5.9604644775390625e-06
72,632,680,0,8,9.775161743164062e-06,0.00034165382385253906,0.0,5.0067901611328125e-06
73,760,688,128,8,1.0251998901367188e-05,0.0003466606140136719,4.76837158203125e-07,5.0067901611328125e-06
74,760,696,0,8,1.049041748046875e-05,0.0003514289855957031,2.384185791015625e-07,4.76837158203125e-06
75,760,704,0,8,1.049041748046875e-05,0.00035572052001953125,0.0,4.291534423828125e-06
76,760,712,0,8,1.0728836059570312e-05,0.00036025047302246094,2.384185791015625e-07,4.5299530029296875e-06
77,760,720,0,8,1.0728836059570312e-05,0.00036454200744628906,0.0,4.291534423828125e-06
78,760,728,0,8,1.0728836059570312e-05,0.00036907196044921875,0.0,4.5299530029296875e-06
79,760,736,0,8,1.0967254638671875e-05,0.00037384033203125,2.384185791015625e-07,4.76837158203125e-06
80,760,744,0,8,1.1205673217773438e-05,0.0003783702850341797,2.384185791015625e-07,4.5299530029296875e-06
81,760,752,0,8,1.1205673217773438e-05,0.00038313865661621094,0.0,4.76837158203125e-06
82,760,760,0,8,1.1205673217773438e-05,0.0003876686096191406,0.0,4.5299530029296875e-06
83,760,768,0,8,1.1205673217773438e-05,0.00039196014404296875,0.0,4.291534423828125e-06
84,760,776,0,8,1.1205673217773438e-05,0.00039649009704589844,0.0,4.5299530029296875e-06
85,760,784,0,8,1.1444091796875e-05,0.0004010200500488281,2.384185791015625e-07,4.5299530029296875e-06
86,760,792,0,8,1.1444091796875e-05,0.00040531158447265625,0.0,4.291534423828125e-06
87,760,800,0,8,1.1682510375976562e-05,0.0004096031188964844,2.384185791015625e-07,4.291534423828125e-06
88,760,808,0,8,1.1920928955078125e-05,0.00041747093200683594,2.384185791015625e-07,7.867813110351562e-06
89,904,816,144,8,1.2159347534179688e-05,0.0004222393035888672,2.384185791015625e-07,4.76837158203125e-06
90,904,824,0,8,1.2159347534179688e-05,0.0004267692565917969,0.0,4.5299530029296875e-06
91,904,832,0,8,1.239776611328125e-05,0.00043129920959472656,2.384185791015625e-07,4.5299530029296875e-06
92,904,840,0,8,1.239776611328125e-05,0.0004363059997558594,0.0,5.0067901611328125e-06
93,904,848,0,8,1.2636184692382812e-05,0.0004410743713378906,2.384185791015625e-07,4.76837158203125e-06
94,904,856,0,8,1.2874603271484375e-05,0.0004458427429199219,2.384185791015625e-07,4.76837158203125e-06
95,904,864,0,8,1.3113021850585938e-05,0.00045037269592285156,2.384185791015625e-07,4.5299530029296875e-06
96,904,872,0,8,1.3113021850585938e-05,0.00045490264892578125,0.0,4.5299530029296875e-06
97,904,880,0,8,1.33514404296875e-05,0.00045943260192871094,2.384185791015625e-07,4.5299530029296875e-06
98,904,888,0,8,1.3589859008789062e-05,0.0004639625549316406,2.384185791015625e-07,4.5299530029296875e-06
99,904,896,0,8,1.3589859008789062e-05,0.0004684925079345703,0.0,4.5299530029296875e-06
100,904,904,0,8,1.3828277587890625e-05,0.0004730224609375,2.384185791015625e-07,4.5299530029296875e-06
