Wiederholung,Speicher Liste gesamt,Speicher Array gesamt,Speicherveraenderung Liste,Speicherveraenderung Array,Gesamtlaufzeit Liste,Gesamtlaufzeit Array,Gesamtlaufzeitveraenderung Liste,Gesamtlaufzeitveraenderung Array
1,88,112,32,8,4.76837158203125e-07,1.5735626220703125e-05,4.76837158203125e-07,1.5735626220703125e-05
2,88,120,0,8,4.76837158203125e-07,2.2411346435546875e-05,0.0,6.67572021484375e-06
3,88,128,0,8,7.152557373046875e-07,2.765655517578125e-05,2.384185791015625e-07,5.245208740234375e-06
4,88,136,0,8,7.152557373046875e-07,3.266334533691406e-05,0.0,5.0067901611328125e-06
5,120,144,32,8,1.1920928955078125e-06,3.790855407714844e-05,4.76837158203125e-07,5.245208740234375e-06
6,120,152,0,8,1.430511474609375e-06,4.315376281738281e-05,2.384185791015625e-07,5.245208740234375e-06
7,120,160,0,8,1.6689300537109375e-06,4.792213439941406e-05,2.384185791015625e-07,4.76837158203125e-06
8,120,168,0,8,1.6689300537109375e-06,5.269050598144531e-05,0.0,4.76837158203125e-06
9,184,176,64,8,1.9073486328125e-06,5.7220458984375e-05,2.384185791015625e-07,4.5299530029296875e-06
10,184,184,0,8,2.1457672119140625e-06,6.175041198730469e-05,2.384185791015625e-07,4.5299530029296875e-06
11,184,192,0,8,2.1457672119140625e-06,6.628036499023438e-05,0.0,4.5299530029296875e-06
12,184,200,0,8,2.384185791015625e-06,7.081031799316406e-05,2.384185791015625e-07,4.5299530029296875e-06
13,184,208,0,8,2.384185791015625e-06,7.510185241699219e-05,0.0,4.291534423828125e-06
14,184,216,0,8,2.86102294921875e-06,7.963180541992188e-05,4.76837158203125e-07,4.5299530029296875e-06
15,184,224,0,8,3.0994415283203125e-06,8.392333984375e-05,2.384185791015625e-07,4.291534423828125e-06
16,184,232,0,8,3.0994415283203125e-06,8.797645568847656e-05,0.0,4.0531158447265625e-06
17,256,240,72,8,3.337860107421875e-06,9.274482727050781e-05,2.384185791015625e-07,4.76837158203125e-06
18,256,248,0,8,3.814697265625e-06,9.703636169433594e-05,4.76837158203125e-07,4.291534423828125e-06
19,256,256,0,8,3.814697265625e-06,0.00010156631469726562,0.0,4.5299530029296875e-06
20,256,264,0,8,4.291534423828125e-06,0.00010633468627929688,4.76837158203125e-07,4.76837158203125e-06
21,256,272,0,8,4.291534423828125e-06,0.00011086463928222656,0.0,4.5299530029296875e-06
22,256,280,0,8,4.5299530029296875e-06,0.00011515617370605469,2.384185791015625e-07,4.291534423828125e-06
23,256,288,0,8,4.76837158203125e-06,0.00011944770812988281,2.384185791015625e-07,4.291534423828125e-06
24,256,296,0,8,5.0067901611328125e-06,0.00012373924255371094,2.384185791015625e-07,4.291534423828125e-06
