Wiederholung,Speicher Liste gesamt,Speicher Array gesamt,Speicherveraenderung Liste,Speicherveraenderung Array,Gesamtlaufzeit Liste,Gesamtlaufzeit Array,Gesamtlaufzeitveraenderung Liste,Gesamtlaufzeitveraenderung Array
1,88,112,32,8,7.152557373046875e-07,1.5735626220703125e-05,7.152557373046875e-07,1.5735626220703125e-05
2,88,120,0,8,9.5367431640625e-07,2.2649765014648438e-05,2.384185791015625e-07,6.9141387939453125e-06
3,88,128,0,8,1.1920928955078125e-06,2.8133392333984375e-05,2.384185791015625e-07,5.4836273193359375e-06
4,88,136,0,8,1.6689300537109375e-06,3.266334533691406e-05,4.76837158203125e-07,4.5299530029296875e-06
5,120,144,32,8,1.9073486328125e-06,3.743171691894531e-05,2.384185791015625e-07,4.76837158203125e-06
6,120,152,0,8,2.1457672119140625e-06,4.2438507080078125e-05,2.384185791015625e-07,5.0067901611328125e-06
7,120,160,0,8,2.6226043701171875e-06,4.696846008300781e-05,4.76837158203125e-07,4.5299530029296875e-06
8,120,168,0,8,2.6226043701171875e-06,5.125999450683594e-05,0.0,4.291534423828125e-06
9,184,176,64,8,3.0994415283203125e-06,5.5789947509765625e-05,4.76837158203125e-07,4.5299530029296875e-06
10,184,184,0,8,3.337860107421875e-06,6.008148193359375e-05,2.384185791015625e-07,4.291534423828125e-06
11,184,192,0,8,3.5762786865234375e-06,6.437301635742188e-05,2.384185791015625e-07,4.291534423828125e-06
12,184,200,0,8,3.5762786865234375e-06,6.866455078125e-05,0.0,4.291534423828125e-06
13,184,208,0,8,3.5762786865234375e-06,7.295608520507812e-05,0.0,4.291534423828125e-06
14,184,216,0,8,3.5762786865234375e-06,7.724761962890625e-05,0.0,4.291534423828125e-06
15,184,224,0,8,3.5762786865234375e-06,8.177757263183594e-05,0.0,4.5299530029296875e-06
16,184,232,0,8,3.5762786865234375e-06,8.606910705566406e-05,0.0,4.291534423828125e-06
17,256,240,72,8,3.814697265625e-06,9.036064147949219e-05,2.384185791015625e-07,4.291534423828125e-06
18,256,248,0,8,3.814697265625e-06,9.465217590332031e-05,0.0,4.291534423828125e-06
19,256,256,0,8,4.0531158447265625e-06,9.894371032714844e-05,2.384185791015625e-07,4.291534423828125e-06
20,256,264,0,8,4.0531158447265625e-06,0.00010323524475097656,0.0,4.291534423828125e-06
21,256,272,0,8,4.0531158447265625e-06,0.00010752677917480469,0.0,4.291534423828125e-06
22,256,280,0,8,4.0531158447265625e-06,0.00011181831359863281,0.0,4.291534423828125e-06
23,256,288,0,8,4.291534423828125e-06,0.00011610984802246094,2.384185791015625e-07,4.291534423828125e-06
24,256,296,0,8,4.5299530029296875e-06,0.00012063980102539062,2.384185791015625e-07,4.5299530029296875e-06
25,256,304,0,8,4.5299530029296875e-06,0.00012493133544921875,0.0,4.291534423828125e-06
26,336,312,80,8,4.76837158203125e-06,0.00012922286987304688,2.384185791015625e-07,4.291534423828125e-06
27,336,320,0,8,4.76837158203125e-06,0.000133514404296875,0.0,4.291534423828125e-06
28,336,328,0,8,4.76837158203125e-06,0.00013780593872070312,0.0,4.291534423828125e-06
29,336,336,0,8,5.0067901611328125e-06,0.0001423358917236328,2.384185791015625e-07,4.5299530029296875e-06
30,336,344,0,8,5.0067901611328125e-06,0.00014662742614746094,0.0,4.291534423828125e-06
31,336,352,0,8,5.0067901611328125e-06,0.00015115737915039062,0.0,4.5299530029296875e-06
32,336,360,0,8,5.0067901611328125e-06,0.00015544891357421875,0.0,4.291534423828125e-06
33,336,368,0,8,5.245208740234375e-06,0.00015997886657714844,2.384185791015625e-07,4.5299530029296875e-06
34,336,376,0,8,5.4836273193359375e-06,0.00016450881958007812,2.384185791015625e-07,4.5299530029296875e-06
35,336,384,0,8,5.4836273193359375e-06,0.0001690387725830078,0.0,4.5299530029296875e-06
36,424,392,88,8,5.7220458984375e-06,0.00017333030700683594,2.384185791015625e-07,4.291534423828125e-06
37,424,400,0,8,5.9604644775390625e-06,0.00017786026000976562,2.384185791015625e-07,4.5299530029296875e-06
38,424,408,0,8,6.198883056640625e-06,0.0001823902130126953,2.384185791015625e-07,4.5299530029296875e-06
39,424,416,0,8,6.198883056640625e-06,0.000186920166015625,0.0,4.5299530029296875e-06
40,424,424,0,8,6.198883056640625e-06,0.0001914501190185547,0.0,4.5299530029296875e-06
41,424,432,0,8,6.4373016357421875e-06,0.0001957416534423828,2.384185791015625e-07,4.291534423828125e-06
42,424,440,0,8,6.4373016357421875e-06,0.0002002716064453125,0.0,4.5299530029296875e-06
43,424,448,0,8,6.67572021484375e-06,0.00020456314086914062,2.384185791015625e-07,4.291534423828125e-06
44,424,456,0,8,6.67572021484375e-06,0.00020885467529296875,0.0,4.291534423828125e-06
45,424,464,0,8,6.9141387939453125e-06,0.00021314620971679688,2.384185791015625e-07,4.291534423828125e-06
46,424,472,0,8,7.152557373046875e-06,0.00022363662719726562,2.384185791015625e-07,1.049041748046875e-05
