Wiederholung,Speicher Liste gesamt,Speicher Array gesamt,Speicherveraenderung Liste,Speicherveraenderung Array,Gesamtlaufzeit Liste,Gesamtlaufzeit Array,Gesamtlaufzeitveraenderung Liste,Gesamtlaufzeitveraenderung Array
1,88,112,32,8,4.76837158203125e-07,1.8358230590820312e-05,4.76837158203125e-07,1.8358230590820312e-05
2,88,120,0,8,7.152557373046875e-07,2.5033950805664062e-05,2.384185791015625e-07,6.67572021484375e-06
3,88,128,0,8,9.5367431640625e-07,3.075599670410156e-05,2.384185791015625e-07,5.7220458984375e-06
4,88,136,0,8,1.1920928955078125e-06,3.5762786865234375e-05,2.384185791015625e-07,5.0067901611328125e-06
5,120,144,32,8,1.1920928955078125e-06,4.076957702636719e-05,0.0,5.0067901611328125e-06
6,120,152,0,8,1.1920928955078125e-06,4.601478576660156e-05,0.0,5.245208740234375e-06
7,120,160,0,8,1.6689300537109375e-06,5.078315734863281e-05,4.76837158203125e-07,4.76837158203125e-06
8,120,168,0,8,1.6689300537109375e-06,5.53131103515625e-05,0.0,4.5299530029296875e-06
9,184,176,64,8,1.9073486328125e-06,5.984306335449219e-05,2.384185791015625e-07,4.5299530029296875e-06
10,184,184,0,8,2.1457672119140625e-06,6.413459777832031e-05,2.384185791015625e-07,4.291534423828125e-06
11,184,192,0,8,2.384185791015625e-06,6.890296936035156e-05,2.384185791015625e-07,4.76837158203125e-06
12,184,200,0,8,2.6226043701171875e-06,7.367134094238281e-05,2.384185791015625e-07,4.76837158203125e-06
13,184,208,0,8,2.6226043701171875e-06,7.796287536621094e-05,0.0,4.291534423828125e-06
14,184,216,0,8,2.6226043701171875e-06,8.249282836914062e-05,0.0,4.5299530029296875e-06
15,184,224,0,8,2.86102294921875e-06,8.702278137207031e-05,2.384185791015625e-07,4.5299530029296875e-06
16,184,232,0,8,2.86102294921875e-06,9.131431579589844e-05,0.0,4.291534423828125e-06
17,256,240,72,8,3.0994415283203125e-06,9.584426879882812e-05,2.384185791015625e-07,4.5299530029296875e-06
18,256,248,0,8,3.0994415283203125e-06,0.00010061264038085938,0.0,4.76837158203125e-06
19,256,256,0,8,3.337860107421875e-06,0.00010538101196289062,2.384185791015625e-07,4.76837158203125e-06
20,256,264,0,8,3.337860107421875e-06,0.00011014938354492188,0.0,4.76837158203125e-06
21,256,272,0,8,3.337860107421875e-06,0.00011467933654785156,0.0,4.5299530029296875e-06
22,256,280,0,8,3.5762786865234375e-06,0.00011920928955078125,2.384185791015625e-07,4.5299530029296875e-06
23,256,288,0,8,3.814697265625e-06,0.00012373924255371094,2.384185791015625e-07,4.5299530029296875e-06
24,256,296,0,8,3.814697265625e-06,0.00012803077697753906,0.0,4.291534423828125e-06
25,256,304,0,8,3.814697265625e-06,0.00013256072998046875,0.0,4.5299530029296875e-06
26,336,312,80,8,4.291534423828125e-06,0.00013709068298339844,4.76837158203125e-07,4.5299530029296875e-06
27,336,320,0,8,4.291534423828125e-06,0.00014162063598632812,0.0,4.5299530029296875e-06
28,336,328,0,8,4.291534423828125e-06,0.0001461505889892578,0.0,4.5299530029296875e-06
29,336,336,0,8,4.5299530029296875e-06,0.0001506805419921875,2.384185791015625e-07,4.5299530029296875e-06
30,336,344,0,8,4.76837158203125e-06,0.0001552104949951172,2.384185791015625e-07,4.5299530029296875e-06
31,336,352,0,8,5.0067901611328125e-06,0.00015974044799804688,2.384185791015625e-07,4.5299530029296875e-06
32,336,360,0,8,5.245208740234375e-06,0.00016450881958007812,2.384185791015625e-07,4.76837158203125e-06
33,336,368,0,8,5.245208740234375e-06,0.0001690387725830078,0.0,4.5299530029296875e-06
34,336,376,0,8,5.4836273193359375e-06,0.00017404556274414062,2.384185791015625e-07,5.0067901611328125e-06
35,336,384,0,8,5.7220458984375e-06,0.00017881393432617188,2.384185791015625e-07,4.76837158203125e-06
36,424,392,88,8,6.4373016357421875e-06,0.00018334388732910156,7.152557373046875e-07,4.5299530029296875e-06
37,424,400,0,8,6.67572021484375e-06,0.0001876354217529297,2.384185791015625e-07,4.291534423828125e-06
38,424,408,0,8,6.67572021484375e-06,0.0001919269561767578,0.0,4.291534423828125e-06
39,424,416,0,8,6.9141387939453125e-06,0.00019621849060058594,2.384185791015625e-07,4.291534423828125e-06
40,424,424,0,8,6.9141387939453125e-06,0.00020051002502441406,0.0,4.291534423828125e-06
41,424,432,0,8,6.9141387939453125e-06,0.0002048015594482422,0.0,4.291534423828125e-06
42,424,440,0,8,7.152557373046875e-06,0.0002090930938720703,2.384185791015625e-07,4.291534423828125e-06
43,424,448,0,8,7.3909759521484375e-06,0.00021338462829589844,2.384185791015625e-07,4.291534423828125e-06
44,424,456,0,8,7.62939453125e-06,0.00021791458129882812,2.384185791015625e-07,4.5299530029296875e-06
45,424,464,0,8,7.62939453125e-06,0.0002224445343017578,0.0,4.5299530029296875e-06
46,424,472,0,8,7.62939453125e-06,0.0002269744873046875,0.0,4.5299530029296875e-06
47,520,480,96,8,7.867813110351562e-06,0.00023126602172851562,2.384185791015625e-07,4.291534423828125e-06
48,520,488,0,8,7.867813110351562e-06,0.0002357959747314453,0.0,4.5299530029296875e-06
49,520,496,0,8,8.106231689453125e-06,0.000240325927734375,2.384185791015625e-07,4.5299530029296875e-06
50,520,504,0,8,8.106231689453125e-06,0.0002446174621582031,0.0,4.291534423828125e-06
51,520,512,0,8,8.106231689453125e-06,0.00024890899658203125,0.0,4.291534423828125e-06
52,520,520,0,8,8.344650268554688e-06,0.0002532005310058594,2.384185791015625e-07,4.291534423828125e-06
53,520,528,0,8,8.344650268554688e-06,0.00025773048400878906,0.0,4.5299530029296875e-06
54,520,536,0,8,8.58306884765625e-06,0.00026226043701171875,2.384185791015625e-07,4.5299530029296875e-06
55,520,544,0,8,8.821487426757812e-06,0.00026679039001464844,2.384185791015625e-07,4.5299530029296875e-06
56,520,552,0,8,8.821487426757812e-06,0.00027108192443847656,0.0,4.291534423828125e-06
57,520,560,0,8,9.059906005859375e-06,0.00027561187744140625,2.384185791015625e-07,4.5299530029296875e-06
58,520,568,0,8,9.059906005859375e-06,0.0002799034118652344,0.0,4.291534423828125e-06
59,632,576,112,8,9.5367431640625e-06,0.00028443336486816406,4.76837158203125e-07,4.5299530029296875e-06
60,632,584,0,8,9.775161743164062e-06,0.0002894401550292969,2.384185791015625e-07,5.0067901611328125e-06
61,632,592,0,8,1.0013580322265625e-05,0.0002942085266113281,2.384185791015625e-07,4.76837158203125e-06
62,632,600,0,8,1.0013580322265625e-05,0.00029850006103515625,0.0,4.291534423828125e-06
63,632,608,0,8,1.0013580322265625e-05,0.00030303001403808594,0.0,4.5299530029296875e-06
64,632,616,0,8,1.0251998901367188e-05,0.0003075599670410156,2.384185791015625e-07,4.5299530029296875e-06
65,632,624,0,8,1.049041748046875e-05,0.0003120899200439453,2.384185791015625e-07,4.5299530029296875e-06
66,632,632,0,8,1.0728836059570312e-05,0.000316619873046875,2.384185791015625e-07,4.5299530029296875e-06
67,632,640,0,8,1.0967254638671875e-05,0.0003211498260498047,2.384185791015625e-07,4.5299530029296875e-06
68,632,648,0,8,1.0967254638671875e-05,0.0003254413604736328,0.0,4.291534423828125e-06
69,632,656,0,8,1.0967254638671875e-05,0.00032973289489746094,0.0,4.291534423828125e-06
70,632,664,0,8,1.1205673217773438e-05,0.0003345012664794922,2.384185791015625e-07,4.76837158203125e-06
71,632,672,0,8,1.1205673217773438e-05,0.0003387928009033203,0.0,4.291534423828125e-06
72,632,680,0,8,1.1444091796875e-05,0.00034356117248535156,2.384185791015625e-07,4.76837158203125e-06
73,760,688,128,8,1.239776611328125e-05,0.00034809112548828125,9.5367431640625e-07,4.5299530029296875e-06
74,760,696,0,8,1.239776611328125e-05,0.00035262107849121094,0.0,4.5299530029296875e-06
75,760,704,0,8,1.2636184692382812e-05,0.0003571510314941406,2.384185791015625e-07,4.5299530029296875e-06
76,760,712,0,8,1.2874603271484375e-05,0.00036144256591796875,2.384185791015625e-07,4.291534423828125e-06
