Wiederholung,Speicher Liste gesamt,Speicher Array gesamt,Speicherveraenderung Liste,Speicherveraenderung Array,Gesamtlaufzeit Liste,Gesamtlaufzeit Array,Gesamtlaufzeitveraenderung Liste,Gesamtlaufzeitveraenderung Array
1,88,112,32,8,4.76837158203125e-07,1.4543533325195312e-05,4.76837158203125e-07,1.4543533325195312e-05
2,88,120,0,8,7.152557373046875e-07,2.09808349609375e-05,2.384185791015625e-07,6.4373016357421875e-06
3,88,128,0,8,9.5367431640625e-07,2.6226043701171875e-05,2.384185791015625e-07,5.245208740234375e-06
4,88,136,0,8,1.1920928955078125e-06,3.0994415283203125e-05,2.384185791015625e-07,4.76837158203125e-06
5,120,144,32,8,1.430511474609375e-06,3.600120544433594e-05,2.384185791015625e-07,5.0067901611328125e-06
6,120,152,0,8,1.430511474609375e-06,4.100799560546875e-05,0.0,5.0067901611328125e-06
7,120,160,0,8,1.6689300537109375e-06,4.57763671875e-05,2.384185791015625e-07,4.76837158203125e-06
8,120,168,0,8,1.6689300537109375e-06,5.0067901611328125e-05,0.0,4.291534423828125e-06
9,184,176,64,8,2.1457672119140625e-06,5.459785461425781e-05,4.76837158203125e-07,4.5299530029296875e-06
10,184,184,0,8,2.384185791015625e-06,5.888938903808594e-05,2.384185791015625e-07,4.291534423828125e-06
11,184,192,0,8,2.6226043701171875e-06,6.318092346191406e-05,2.384185791015625e-07,4.291534423828125e-06
12,184,200,0,8,2.86102294921875e-06,6.747245788574219e-05,2.384185791015625e-07,4.291534423828125e-06
13,184,208,0,8,3.337860107421875e-06,7.82012939453125e-05,4.76837158203125e-07,1.0728836059570312e-05
14,184,216,0,8,3.5762786865234375e-06,8.368492126464844e-05,2.384185791015625e-07,5.4836273193359375e-06
15,184,224,0,8,3.814697265625e-06,8.845329284667969e-05,2.384185791015625e-07,4.76837158203125e-06
16,184,232,0,8,3.814697265625e-06,9.298324584960938e-05,0.0,4.5299530029296875e-06
17,256,240,72,8,4.0531158447265625e-06,9.775161743164062e-05,2.384185791015625e-07,4.76837158203125e-06
18,256,248,0,8,4.291534423828125e-06,0.00010228157043457031,2.384185791015625e-07,4.5299530029296875e-06
19,256,256,0,8,4.291534423828125e-06,0.00010704994201660156,0.0,4.76837158203125e-06
20,256,264,0,8,4.5299530029296875e-06,0.00011181831359863281,2.384185791015625e-07,4.76837158203125e-06
