Wiederholung,Speicher Liste gesamt,Speicher Array gesamt,Speicherveraenderung Liste,Speicherveraenderung Array,Gesamtlaufzeit Liste,Gesamtlaufzeit Array,Gesamtlaufzeitveraenderung Liste,Gesamtlaufzeitveraenderung Array
1,88,112,32,8,4.76837158203125e-07,1.7642974853515625e-05,4.76837158203125e-07,1.7642974853515625e-05
2,88,120,0,8,7.152557373046875e-07,2.5033950805664062e-05,2.384185791015625e-07,7.3909759521484375e-06
3,88,128,0,8,9.5367431640625e-07,3.0517578125e-05,2.384185791015625e-07,5.4836273193359375e-06
4,88,136,0,8,1.1920928955078125e-06,3.5762786865234375e-05,2.384185791015625e-07,5.245208740234375e-06
5,120,144,32,8,1.430511474609375e-06,4.076957702636719e-05,2.384185791015625e-07,5.0067901611328125e-06
6,120,152,0,8,1.430511474609375e-06,4.57763671875e-05,0.0,5.0067901611328125e-06
7,120,160,0,8,1.6689300537109375e-06,5.030632019042969e-05,2.384185791015625e-07,4.5299530029296875e-06
8,120,168,0,8,1.9073486328125e-06,5.507469177246094e-05,2.384185791015625e-07,4.76837158203125e-06
9,184,176,64,8,2.1457672119140625e-06,5.984306335449219e-05,2.384185791015625e-07,4.76837158203125e-06
10,184,184,0,8,2.86102294921875e-06,7.128715515136719e-05,7.152557373046875e-07,1.1444091796875e-05
11,184,192,0,8,2.86102294921875e-06,7.677078247070312e-05,0.0,5.4836273193359375e-06
12,184,200,0,8,3.0994415283203125e-06,8.177757263183594e-05,2.384185791015625e-07,5.0067901611328125e-06
13,184,208,0,8,3.337860107421875e-06,8.654594421386719e-05,2.384185791015625e-07,4.76837158203125e-06
14,184,216,0,8,3.5762786865234375e-06,9.107589721679688e-05,2.384185791015625e-07,4.5299530029296875e-06
15,184,224,0,8,4.0531158447265625e-06,9.5367431640625e-05,4.76837158203125e-07,4.291534423828125e-06
16,184,232,0,8,4.0531158447265625e-06,9.989738464355469e-05,0.0,4.5299530029296875e-06
17,256,240,72,8,4.0531158447265625e-06,0.00010442733764648438,0.0,4.5299530029296875e-06
18,256,248,0,8,4.291534423828125e-06,0.0001087188720703125,2.384185791015625e-07,4.291534423828125e-06
19,256,256,0,8,4.5299530029296875e-06,0.00011324882507324219,2.384185791015625e-07,4.5299530029296875e-06
20,256,264,0,8,4.76837158203125e-06,0.00011777877807617188,2.384185791015625e-07,4.5299530029296875e-06
21,256,272,0,8,5.0067901611328125e-06,0.00012254714965820312,2.384185791015625e-07,4.76837158203125e-06
22,256,280,0,8,5.245208740234375e-06,0.00012683868408203125,2.384185791015625e-07,4.291534423828125e-06
23,256,288,0,8,5.4836273193359375e-06,0.00013113021850585938,2.384185791015625e-07,4.291534423828125e-06
24,256,296,0,8,5.7220458984375e-06,0.0001354217529296875,2.384185791015625e-07,4.291534423828125e-06
25,256,304,0,8,5.7220458984375e-06,0.00013971328735351562,0.0,4.291534423828125e-06
26,336,312,80,8,5.9604644775390625e-06,0.00014400482177734375,2.384185791015625e-07,4.291534423828125e-06
27,336,320,0,8,5.9604644775390625e-06,0.00014829635620117188,0.0,4.291534423828125e-06
28,336,328,0,8,5.9604644775390625e-06,0.00015234947204589844,0.0,4.0531158447265625e-06
29,336,336,0,8,6.4373016357421875e-06,0.00015664100646972656,4.76837158203125e-07,4.291534423828125e-06
30,336,344,0,8,6.67572021484375e-06,0.0001609325408935547,2.384185791015625e-07,4.291534423828125e-06
31,336,352,0,8,6.67572021484375e-06,0.0001652240753173828,0.0,4.291534423828125e-06
32,336,360,0,8,6.67572021484375e-06,0.00016951560974121094,0.0,4.291534423828125e-06
33,336,368,0,8,6.67572021484375e-06,0.00017404556274414062,0.0,4.5299530029296875e-06
34,336,376,0,8,6.9141387939453125e-06,0.00017833709716796875,2.384185791015625e-07,4.291534423828125e-06
35,336,384,0,8,6.9141387939453125e-06,0.00018286705017089844,0.0,4.5299530029296875e-06
36,424,392,88,8,7.152557373046875e-06,0.00018715858459472656,2.384185791015625e-07,4.291534423828125e-06
37,424,400,0,8,7.152557373046875e-06,0.00019168853759765625,0.0,4.5299530029296875e-06
38,424,408,0,8,7.152557373046875e-06,0.0001957416534423828,0.0,4.0531158447265625e-06
39,424,416,0,8,7.3909759521484375e-06,0.0002002716064453125,2.384185791015625e-07,4.5299530029296875e-06
40,424,424,0,8,7.62939453125e-06,0.00020456314086914062,2.384185791015625e-07,4.291534423828125e-06
41,424,432,0,8,7.867813110351562e-06,0.0002090930938720703,2.384185791015625e-07,4.5299530029296875e-06
42,424,440,0,8,8.106231689453125e-06,0.00021338462829589844,2.384185791015625e-07,4.291534423828125e-06
43,424,448,0,8,8.344650268554688e-06,0.00021767616271972656,2.384185791015625e-07,4.291534423828125e-06
44,424,456,0,8,8.58306884765625e-06,0.0002219676971435547,2.384185791015625e-07,4.291534423828125e-06
45,424,464,0,8,8.58306884765625e-06,0.00022602081298828125,0.0,4.0531158447265625e-06
46,424,472,0,8,8.58306884765625e-06,0.0002300739288330078,0.0,4.0531158447265625e-06
47,520,480,96,8,8.821487426757812e-06,0.00023436546325683594,2.384185791015625e-07,4.291534423828125e-06
48,520,488,0,8,8.821487426757812e-06,0.00023865699768066406,0.0,4.291534423828125e-06
49,520,496,0,8,8.821487426757812e-06,0.0002429485321044922,0.0,4.291534423828125e-06
50,520,504,0,8,9.059906005859375e-06,0.0002474784851074219,2.384185791015625e-07,4.5299530029296875e-06
51,520,512,0,8,9.059906005859375e-06,0.00025200843811035156,0.0,4.5299530029296875e-06
52,520,520,0,8,9.298324584960938e-06,0.00025653839111328125,2.384185791015625e-07,4.5299530029296875e-06
53,520,528,0,8,9.298324584960938e-06,0.00026106834411621094,0.0,4.5299530029296875e-06
54,520,536,0,8,9.298324584960938e-06,0.00026535987854003906,0.0,4.291534423828125e-06
55,520,544,0,8,9.5367431640625e-06,0.0002696514129638672,2.384185791015625e-07,4.291534423828125e-06
56,520,552,0,8,9.5367431640625e-06,0.0002739429473876953,0.0,4.291534423828125e-06
57,520,560,0,8,9.5367431640625e-06,0.00027823448181152344,0.0,4.291534423828125e-06
58,520,568,0,8,9.5367431640625e-06,0.00028252601623535156,0.0,4.291534423828125e-06
59,632,576,112,8,1.0251998901367188e-05,0.00028705596923828125,7.152557373046875e-07,4.5299530029296875e-06
60,632,584,0,8,1.0251998901367188e-05,0.0002913475036621094,0.0,4.291534423828125e-06
61,632,592,0,8,1.0251998901367188e-05,0.0002961158752441406,0.0,4.76837158203125e-06
62,632,600,0,8,1.049041748046875e-05,0.0003006458282470703,2.384185791015625e-07,4.5299530029296875e-06
63,632,608,0,8,1.049041748046875e-05,0.00030517578125,0.0,4.5299530029296875e-06
64,632,616,0,8,1.0728836059570312e-05,0.0003094673156738281,2.384185791015625e-07,4.291534423828125e-06
65,632,624,0,8,1.0728836059570312e-05,0.00031375885009765625,0.0,4.291534423828125e-06
66,632,632,0,8,1.0967254638671875e-05,0.0003180503845214844,2.384185791015625e-07,4.291534423828125e-06
67,632,640,0,8,1.0967254638671875e-05,0.00032210350036621094,0.0,4.0531158447265625e-06
68,632,648,0,8,1.1205673217773438e-05,0.00032639503479003906,2.384185791015625e-07,4.291534423828125e-06
69,632,656,0,8,1.1444091796875e-05,0.0003306865692138672,2.384185791015625e-07,4.291534423828125e-06
70,632,664,0,8,1.1444091796875e-05,0.00033473968505859375,0.0,4.0531158447265625e-06
71,632,672,0,8,1.1444091796875e-05,0.0003390312194824219,0.0,4.291534423828125e-06
72,632,680,0,8,1.1444091796875e-05,0.00034356117248535156,0.0,4.5299530029296875e-06
73,760,688,128,8,1.1920928955078125e-05,0.0003483295440673828,4.76837158203125e-07,4.76837158203125e-06
74,760,696,0,8,1.1920928955078125e-05,0.00035262107849121094,0.0,4.291534423828125e-06
75,760,704,0,8,1.1920928955078125e-05,0.0003566741943359375,0.0,4.0531158447265625e-06
76,760,712,0,8,1.1920928955078125e-05,0.0003609657287597656,0.0,4.291534423828125e-06
77,760,720,0,8,1.2159347534179688e-05,0.00036525726318359375,2.384185791015625e-07,4.291534423828125e-06
78,760,728,0,8,1.2159347534179688e-05,0.0003695487976074219,0.0,4.291534423828125e-06
79,760,736,0,8,1.2159347534179688e-05,0.00037407875061035156,0.0,4.5299530029296875e-06
80,760,744,0,8,1.239776611328125e-05,0.0003783702850341797,2.384185791015625e-07,4.291534423828125e-06
81,760,752,0,8,1.239776611328125e-05,0.00038242340087890625,0.0,4.0531158447265625e-06
82,760,760,0,8,1.2636184692382812e-05,0.00038695335388183594,2.384185791015625e-07,4.5299530029296875e-06
83,760,768,0,8,1.2636184692382812e-05,0.0003910064697265625,0.0,4.0531158447265625e-06
84,760,776,0,8,1.2636184692382812e-05,0.0003955364227294922,0.0,4.5299530029296875e-06
85,760,784,0,8,1.2874603271484375e-05,0.0003998279571533203,2.384185791015625e-07,4.291534423828125e-06
86,760,792,0,8,1.2874603271484375e-05,0.00040411949157714844,0.0,4.291534423828125e-06
87,760,800,0,8,1.2874603271484375e-05,0.00040841102600097656,0.0,4.291534423828125e-06
88,760,808,0,8,1.3113021850585938e-05,0.00041604042053222656,2.384185791015625e-07,7.62939453125e-06
89,904,816,144,8,1.33514404296875e-05,0.0004210472106933594,2.384185791015625e-07,5.0067901611328125e-06
90,904,824,0,8,1.33514404296875e-05,0.00042557716369628906,0.0,4.5299530029296875e-06
91,904,832,0,8,1.33514404296875e-05,0.00043010711669921875,0.0,4.5299530029296875e-06
92,904,840,0,8,1.33514404296875e-05,0.0004343986511230469,0.0,4.291534423828125e-06
93,904,848,0,8,1.33514404296875e-05,0.00043892860412597656,0.0,4.5299530029296875e-06
94,904,856,0,8,1.3589859008789062e-05,0.0004432201385498047,2.384185791015625e-07,4.291534423828125e-06
95,904,864,0,8,1.3589859008789062e-05,0.0004475116729736328,0.0,4.291534423828125e-06
96,904,872,0,8,1.3828277587890625e-05,0.00045180320739746094,2.384185791015625e-07,4.291534423828125e-06
97,904,880,0,8,1.4066696166992188e-05,0.00045609474182128906,2.384185791015625e-07,4.291534423828125e-06
98,904,888,0,8,1.430511474609375e-05,0.0004603862762451172,2.384185791015625e-07,4.291534423828125e-06
99,904,896,0,8,1.4543533325195312e-05,0.00048041343688964844,2.384185791015625e-07,2.002716064453125e-05
100,904,904,0,8,1.4781951904296875e-05,0.0004889965057373047,2.384185791015625e-07,8.58306884765625e-06
101,904,912,0,8,1.4781951904296875e-05,0.0004942417144775391,0.0,5.245208740234375e-06
102,904,920,0,8,1.5020370483398438e-05,0.0004990100860595703,2.384185791015625e-07,4.76837158203125e-06
103,904,928,0,8,1.5020370483398438e-05,0.0005035400390625,0.0,4.5299530029296875e-06
104,904,936,0,8,1.5020370483398438e-05,0.0005078315734863281,0.0,4.291534423828125e-06
105,904,944,0,8,1.52587890625e-05,0.0005123615264892578,2.384185791015625e-07,4.5299530029296875e-06
106,904,952,0,8,1.52587890625e-05,0.0005166530609130859,0.0,4.291534423828125e-06
107,1064,960,160,8,1.5497207641601562e-05,0.0005209445953369141,2.384185791015625e-07,4.291534423828125e-06
108,1064,968,0,8,1.5497207641601562e-05,0.0005252361297607422,0.0,4.291534423828125e-06
109,1064,976,0,8,1.5735626220703125e-05,0.0005295276641845703,2.384185791015625e-07,4.291534423828125e-06
110,1064,984,0,8,1.5974044799804688e-05,0.0005340576171875,2.384185791015625e-07,4.5299530029296875e-06
111,1064,992,0,8,1.621246337890625e-05,0.0005385875701904297,2.384185791015625e-07,4.5299530029296875e-06
112,1064,1000,0,8,1.621246337890625e-05,0.0005428791046142578,0.0,4.291534423828125e-06
113,1064,1008,0,8,1.621246337890625e-05,0.0005469322204589844,0.0,4.0531158447265625e-06
114,1064,1016,0,8,1.6450881958007812e-05,0.0005512237548828125,2.384185791015625e-07,4.291534423828125e-06
115,1064,1024,0,8,1.6450881958007812e-05,0.0005555152893066406,0.0,4.291534423828125e-06
116,1064,1032,0,8,1.6450881958007812e-05,0.0005602836608886719,0.0,4.76837158203125e-06
117,1064,1040,0,8,1.6689300537109375e-05,0.0005645751953125,2.384185791015625e-07,4.291534423828125e-06
118,1064,1048,0,8,1.6927719116210938e-05,0.0005686283111572266,2.384185791015625e-07,4.0531158447265625e-06
119,1064,1056,0,8,1.6927719116210938e-05,0.0005729198455810547,0.0,4.291534423828125e-06
120,1064,1064,0,8,1.6927719116210938e-05,0.0005772113800048828,0.0,4.291534423828125e-06
121,1064,1072,0,8,1.6927719116210938e-05,0.0005812644958496094,0.0,4.0531158447265625e-06
122,1064,1080,0,8,1.6927719116210938e-05,0.0005853176116943359,0.0,4.0531158447265625e-06
123,1064,1088,0,8,1.6927719116210938e-05,0.0005896091461181641,0.0,4.291534423828125e-06
124,1064,1096,0,8,1.71661376953125e-05,0.0005936622619628906,2.384185791015625e-07,4.0531158447265625e-06
125,1064,1104,0,8,1.71661376953125e-05,0.0005979537963867188,0.0,4.291534423828125e-06
126,1064,1112,0,8,1.7404556274414062e-05,0.0006024837493896484,2.384185791015625e-07,4.5299530029296875e-06
127,1240,1120,176,8,1.7642974853515625e-05,0.0006070137023925781,2.384185791015625e-07,4.5299530029296875e-06
128,1240,1128,0,8,1.7642974853515625e-05,0.0006115436553955078,0.0,4.5299530029296875e-06
129,1240,1136,0,8,1.7642974853515625e-05,0.0006160736083984375,0.0,4.5299530029296875e-06
130,1240,1144,0,8,1.7881393432617188e-05,0.0006203651428222656,2.384185791015625e-07,4.291534423828125e-06
131,1240,1152,0,8,1.811981201171875e-05,0.0006246566772460938,2.384185791015625e-07,4.291534423828125e-06
132,1240,1160,0,8,1.811981201171875e-05,0.0006289482116699219,0.0,4.291534423828125e-06
133,1240,1168,0,8,1.8358230590820312e-05,0.00063323974609375,2.384185791015625e-07,4.291534423828125e-06
134,1240,1176,0,8,1.8596649169921875e-05,0.0006375312805175781,2.384185791015625e-07,4.291534423828125e-06
135,1240,1184,0,8,1.8596649169921875e-05,0.0006418228149414062,0.0,4.291534423828125e-06
136,1240,1192,0,8,1.8835067749023438e-05,0.0006463527679443359,2.384185791015625e-07,4.5299530029296875e-06
137,1240,1200,0,8,1.8835067749023438e-05,0.0006508827209472656,0.0,4.5299530029296875e-06
138,1240,1208,0,8,1.8835067749023438e-05,0.0006549358367919922,0.0,4.0531158447265625e-06
139,1240,1216,0,8,1.8835067749023438e-05,0.0006592273712158203,0.0,4.291534423828125e-06
140,1240,1224,0,8,1.9073486328125e-05,0.0006635189056396484,2.384185791015625e-07,4.291534423828125e-06
141,1240,1232,0,8,1.9073486328125e-05,0.000667572021484375,0.0,4.0531158447265625e-06
142,1240,1240,0,8,1.9311904907226562e-05,0.0006721019744873047,2.384185791015625e-07,4.5299530029296875e-06
143,1240,1248,0,8,1.9550323486328125e-05,0.0006763935089111328,2.384185791015625e-07,4.291534423828125e-06
144,1240,1256,0,8,1.9550323486328125e-05,0.0006806850433349609,0.0,4.291534423828125e-06
145,1240,1264,0,8,1.9550323486328125e-05,0.0006849765777587891,0.0,4.291534423828125e-06
146,1240,1272,0,8,1.9788742065429688e-05,0.0006892681121826172,2.384185791015625e-07,4.291534423828125e-06
147,1240,1280,0,8,1.9788742065429688e-05,0.0006935596466064453,0.0,4.291534423828125e-06
148,1240,1288,0,8,1.9788742065429688e-05,0.000698089599609375,0.0,4.5299530029296875e-06
149,1440,1296,200,8,2.0265579223632812e-05,0.0007026195526123047,4.76837158203125e-07,4.5299530029296875e-06
150,1440,1304,0,8,2.0503997802734375e-05,0.0007071495056152344,2.384185791015625e-07,4.5299530029296875e-06
151,1440,1312,0,8,2.0742416381835938e-05,0.0007116794586181641,2.384185791015625e-07,4.5299530029296875e-06
