Wiederholung,Speicher Liste gesamt,Speicher Array gesamt,Speicherveraenderung Liste,Speicherveraenderung Array,Gesamtlaufzeit Liste,Gesamtlaufzeit Array,Gesamtlaufzeitveraenderung Liste,Gesamtlaufzeitveraenderung Array
1,88,112,32,8,4.76837158203125e-07,1.7642974853515625e-05,4.76837158203125e-07,1.7642974853515625e-05
2,88,120,0,8,7.152557373046875e-07,2.47955322265625e-05,2.384185791015625e-07,7.152557373046875e-06
3,88,128,0,8,7.152557373046875e-07,3.0279159545898438e-05,0.0,5.4836273193359375e-06
4,88,136,0,8,7.152557373046875e-07,3.504753112792969e-05,0.0,4.76837158203125e-06
5,120,144,32,8,9.5367431640625e-07,4.00543212890625e-05,2.384185791015625e-07,5.0067901611328125e-06
6,120,152,0,8,1.430511474609375e-06,4.482269287109375e-05,4.76837158203125e-07,4.76837158203125e-06
7,120,160,0,8,1.6689300537109375e-06,4.935264587402344e-05,2.384185791015625e-07,4.5299530029296875e-06
8,120,168,0,8,1.6689300537109375e-06,5.3882598876953125e-05,0.0,4.5299530029296875e-06
9,184,176,64,8,1.9073486328125e-06,5.841255187988281e-05,2.384185791015625e-07,4.5299530029296875e-06
10,184,184,0,8,2.1457672119140625e-06,6.270408630371094e-05,2.384185791015625e-07,4.291534423828125e-06
11,184,192,0,8,2.384185791015625e-06,6.699562072753906e-05,2.384185791015625e-07,4.291534423828125e-06
12,184,200,0,8,2.384185791015625e-06,7.128715515136719e-05,0.0,4.291534423828125e-06
13,184,208,0,8,2.6226043701171875e-06,7.557868957519531e-05,2.384185791015625e-07,4.291534423828125e-06
14,184,216,0,8,2.86102294921875e-06,7.963180541992188e-05,2.384185791015625e-07,4.0531158447265625e-06
15,184,224,0,8,3.0994415283203125e-06,8.392333984375e-05,2.384185791015625e-07,4.291534423828125e-06
16,184,232,0,8,3.0994415283203125e-06,8.797645568847656e-05,0.0,4.0531158447265625e-06
17,256,240,72,8,3.5762786865234375e-06,9.226799011230469e-05,4.76837158203125e-07,4.291534423828125e-06
18,256,248,0,8,3.5762786865234375e-06,9.655952453613281e-05,0.0,4.291534423828125e-06
19,256,256,0,8,3.814697265625e-06,0.0001010894775390625,2.384185791015625e-07,4.5299530029296875e-06
20,256,264,0,8,3.814697265625e-06,0.00010585784912109375,0.0,4.76837158203125e-06
21,256,272,0,8,3.814697265625e-06,0.000110626220703125,0.0,4.76837158203125e-06
22,256,280,0,8,3.814697265625e-06,0.00011515617370605469,0.0,4.5299530029296875e-06
23,256,288,0,8,4.0531158447265625e-06,0.00011968612670898438,2.384185791015625e-07,4.5299530029296875e-06
24,256,296,0,8,4.291534423828125e-06,0.00012421607971191406,2.384185791015625e-07,4.5299530029296875e-06
25,256,304,0,8,4.291534423828125e-06,0.0001289844512939453,0.0,4.76837158203125e-06
26,336,312,80,8,4.5299530029296875e-06,0.000133514404296875,2.384185791015625e-07,4.5299530029296875e-06
27,336,320,0,8,4.5299530029296875e-06,0.0001380443572998047,0.0,4.5299530029296875e-06
28,336,328,0,8,4.5299530029296875e-06,0.00014257431030273438,0.0,4.5299530029296875e-06
29,336,336,0,8,4.5299530029296875e-06,0.00014710426330566406,0.0,4.5299530029296875e-06
30,336,344,0,8,4.76837158203125e-06,0.0001513957977294922,2.384185791015625e-07,4.291534423828125e-06
31,336,352,0,8,5.0067901611328125e-06,0.00015592575073242188,2.384185791015625e-07,4.5299530029296875e-06
32,336,360,0,8,5.245208740234375e-06,0.00016069412231445312,2.384185791015625e-07,4.76837158203125e-06
33,336,368,0,8,5.245208740234375e-06,0.0001652240753173828,0.0,4.5299530029296875e-06
34,336,376,0,8,5.4836273193359375e-06,0.00016951560974121094,2.384185791015625e-07,4.291534423828125e-06
35,336,384,0,8,5.4836273193359375e-06,0.00017404556274414062,0.0,4.5299530029296875e-06
36,424,392,88,8,5.9604644775390625e-06,0.0001785755157470703,4.76837158203125e-07,4.5299530029296875e-06
37,424,400,0,8,6.198883056640625e-06,0.00018310546875,2.384185791015625e-07,4.5299530029296875e-06
38,424,408,0,8,6.4373016357421875e-06,0.0001876354217529297,2.384185791015625e-07,4.5299530029296875e-06
39,424,416,0,8,6.4373016357421875e-06,0.0001919269561767578,0.0,4.291534423828125e-06
40,424,424,0,8,6.67572021484375e-06,0.00019621849060058594,2.384185791015625e-07,4.291534423828125e-06
41,424,432,0,8,6.9141387939453125e-06,0.00020074844360351562,2.384185791015625e-07,4.5299530029296875e-06
42,424,440,0,8,6.9141387939453125e-06,0.00020503997802734375,0.0,4.291534423828125e-06
43,424,448,0,8,7.152557373046875e-06,0.00020933151245117188,2.384185791015625e-07,4.291534423828125e-06
