Wiederholung,Speicher Liste gesamt,Speicher Array gesamt,Speicherveraenderung Liste,Speicherveraenderung Array,Gesamtlaufzeit Liste,Gesamtlaufzeit Array,Gesamtlaufzeitveraenderung Liste,Gesamtlaufzeitveraenderung Array
1,88,112,32,8,7.152557373046875e-07,1.621246337890625e-05,7.152557373046875e-07,1.621246337890625e-05
2,88,120,0,8,9.5367431640625e-07,2.288818359375e-05,2.384185791015625e-07,6.67572021484375e-06
3,88,128,0,8,1.1920928955078125e-06,2.86102294921875e-05,2.384185791015625e-07,5.7220458984375e-06
4,88,136,0,8,1.6689300537109375e-06,3.361701965332031e-05,4.76837158203125e-07,5.0067901611328125e-06
5,120,144,32,8,1.9073486328125e-06,3.8623809814453125e-05,2.384185791015625e-07,5.0067901611328125e-06
6,120,152,0,8,2.1457672119140625e-06,4.363059997558594e-05,2.384185791015625e-07,5.0067901611328125e-06
7,120,160,0,8,2.1457672119140625e-06,4.8160552978515625e-05,0.0,4.5299530029296875e-06
8,120,168,0,8,2.384185791015625e-06,5.269050598144531e-05,2.384185791015625e-07,4.5299530029296875e-06
9,184,176,64,8,2.6226043701171875e-06,5.745887756347656e-05,2.384185791015625e-07,4.76837158203125e-06
10,184,184,0,8,2.6226043701171875e-06,6.222724914550781e-05,0.0,4.76837158203125e-06
11,184,192,0,8,2.86102294921875e-06,6.651878356933594e-05,2.384185791015625e-07,4.291534423828125e-06
12,184,200,0,8,3.0994415283203125e-06,7.104873657226562e-05,2.384185791015625e-07,4.5299530029296875e-06
13,184,208,0,8,3.337860107421875e-06,7.581710815429688e-05,2.384185791015625e-07,4.76837158203125e-06
14,184,216,0,8,3.5762786865234375e-06,8.034706115722656e-05,2.384185791015625e-07,4.5299530029296875e-06
15,184,224,0,8,3.5762786865234375e-06,8.440017700195312e-05,0.0,4.0531158447265625e-06
16,184,232,0,8,3.814697265625e-06,8.893013000488281e-05,2.384185791015625e-07,4.5299530029296875e-06
17,256,240,72,8,4.0531158447265625e-06,9.34600830078125e-05,2.384185791015625e-07,4.5299530029296875e-06
18,256,248,0,8,4.0531158447265625e-06,9.822845458984375e-05,0.0,4.76837158203125e-06
19,256,256,0,8,4.291534423828125e-06,0.00010275840759277344,2.384185791015625e-07,4.5299530029296875e-06
20,256,264,0,8,4.291534423828125e-06,0.00010728836059570312,0.0,4.5299530029296875e-06
21,256,272,0,8,4.291534423828125e-06,0.00011181831359863281,0.0,4.5299530029296875e-06
22,256,280,0,8,4.5299530029296875e-06,0.0001163482666015625,2.384185791015625e-07,4.5299530029296875e-06
23,256,288,0,8,4.5299530029296875e-06,0.00012087821960449219,0.0,4.5299530029296875e-06
24,256,296,0,8,4.76837158203125e-06,0.00012564659118652344,2.384185791015625e-07,4.76837158203125e-06
25,256,304,0,8,5.0067901611328125e-06,0.0001304149627685547,2.384185791015625e-07,4.76837158203125e-06
26,336,312,80,8,5.4836273193359375e-06,0.0001347064971923828,4.76837158203125e-07,4.291534423828125e-06
27,336,320,0,8,5.4836273193359375e-06,0.00013899803161621094,0.0,4.291534423828125e-06
28,336,328,0,8,5.4836273193359375e-06,0.00014328956604003906,0.0,4.291534423828125e-06
29,336,336,0,8,5.4836273193359375e-06,0.0001475811004638672,0.0,4.291534423828125e-06
30,336,344,0,8,5.4836273193359375e-06,0.00015211105346679688,0.0,4.5299530029296875e-06
31,336,352,0,8,5.4836273193359375e-06,0.00015664100646972656,0.0,4.5299530029296875e-06
32,336,360,0,8,5.4836273193359375e-06,0.0001609325408935547,0.0,4.291534423828125e-06
33,336,368,0,8,5.7220458984375e-06,0.0001652240753173828,2.384185791015625e-07,4.291534423828125e-06
34,336,376,0,8,5.9604644775390625e-06,0.0001697540283203125,2.384185791015625e-07,4.5299530029296875e-06
35,336,384,0,8,5.9604644775390625e-06,0.00017404556274414062,0.0,4.291534423828125e-06
36,424,392,88,8,6.4373016357421875e-06,0.00017833709716796875,4.76837158203125e-07,4.291534423828125e-06
37,424,400,0,8,6.67572021484375e-06,0.00018262863159179688,2.384185791015625e-07,4.291534423828125e-06
38,424,408,0,8,6.67572021484375e-06,0.00018668174743652344,0.0,4.0531158447265625e-06
39,424,416,0,8,6.67572021484375e-06,0.00019097328186035156,0.0,4.291534423828125e-06
40,424,424,0,8,6.9141387939453125e-06,0.00019550323486328125,2.384185791015625e-07,4.5299530029296875e-06
41,424,432,0,8,7.152557373046875e-06,0.00020003318786621094,2.384185791015625e-07,4.5299530029296875e-06
42,424,440,0,8,7.152557373046875e-06,0.00022482872009277344,0.0,2.47955322265625e-05
43,424,448,0,8,7.3909759521484375e-06,0.00023102760314941406,2.384185791015625e-07,6.198883056640625e-06
44,424,456,0,8,7.3909759521484375e-06,0.00023603439331054688,0.0,5.0067901611328125e-06
45,424,464,0,8,7.3909759521484375e-06,0.00024080276489257812,0.0,4.76837158203125e-06
46,424,472,0,8,7.3909759521484375e-06,0.0002453327178955078,0.0,4.5299530029296875e-06
47,520,480,96,8,7.62939453125e-06,0.00024962425231933594,2.384185791015625e-07,4.291534423828125e-06
48,520,488,0,8,7.62939453125e-06,0.0002541542053222656,0.0,4.5299530029296875e-06
49,520,496,0,8,7.867813110351562e-06,0.00025844573974609375,2.384185791015625e-07,4.291534423828125e-06
50,520,504,0,8,8.106231689453125e-06,0.0002627372741699219,2.384185791015625e-07,4.291534423828125e-06
51,520,512,0,8,8.344650268554688e-06,0.00026702880859375,2.384185791015625e-07,4.291534423828125e-06
52,520,520,0,8,8.58306884765625e-06,0.0002715587615966797,2.384185791015625e-07,4.5299530029296875e-06
53,520,528,0,8,8.821487426757812e-06,0.0002760887145996094,2.384185791015625e-07,4.5299530029296875e-06
54,520,536,0,8,8.821487426757812e-06,0.0002808570861816406,0.0,4.76837158203125e-06
55,520,544,0,8,9.059906005859375e-06,0.00028514862060546875,2.384185791015625e-07,4.291534423828125e-06
56,520,552,0,8,9.298324584960938e-06,0.00028967857360839844,2.384185791015625e-07,4.5299530029296875e-06
57,520,560,0,8,9.5367431640625e-06,0.0002942085266113281,2.384185791015625e-07,4.5299530029296875e-06
58,520,568,0,8,9.5367431640625e-06,0.0002987384796142578,0.0,4.5299530029296875e-06
59,632,576,112,8,1.0013580322265625e-05,0.0003032684326171875,4.76837158203125e-07,4.5299530029296875e-06
60,632,584,0,8,1.0251998901367188e-05,0.0003077983856201172,2.384185791015625e-07,4.5299530029296875e-06
61,632,592,0,8,1.0251998901367188e-05,0.0003120899200439453,0.0,4.291534423828125e-06
62,632,600,0,8,1.0251998901367188e-05,0.000316619873046875,0.0,4.5299530029296875e-06
63,632,608,0,8,1.049041748046875e-05,0.00032138824462890625,2.384185791015625e-07,4.76837158203125e-06
64,632,616,0,8,1.049041748046875e-05,0.0003261566162109375,0.0,4.76837158203125e-06
65,632,624,0,8,1.0728836059570312e-05,0.0003304481506347656,2.384185791015625e-07,4.291534423828125e-06
66,632,632,0,8,1.0967254638671875e-05,0.0003349781036376953,2.384185791015625e-07,4.5299530029296875e-06
67,632,640,0,8,1.0967254638671875e-05,0.000339508056640625,0.0,4.5299530029296875e-06
68,632,648,0,8,1.0967254638671875e-05,0.0003440380096435547,0.0,4.5299530029296875e-06
69,632,656,0,8,1.1205673217773438e-05,0.0003483295440673828,2.384185791015625e-07,4.291534423828125e-06
70,632,664,0,8,1.1205673217773438e-05,0.0003523826599121094,0.0,4.0531158447265625e-06
71,632,672,0,8,1.1205673217773438e-05,0.0003566741943359375,0.0,4.291534423828125e-06
72,632,680,0,8,1.1444091796875e-05,0.0003609657287597656,2.384185791015625e-07,4.291534423828125e-06
73,760,688,128,8,1.1920928955078125e-05,0.0003654956817626953,4.76837158203125e-07,4.5299530029296875e-06
74,760,696,0,8,1.2159347534179688e-05,0.00036978721618652344,2.384185791015625e-07,4.291534423828125e-06
75,760,704,0,8,1.239776611328125e-05,0.00037407875061035156,2.384185791015625e-07,4.291534423828125e-06
76,760,712,0,8,1.2636184692382812e-05,0.0003783702850341797,2.384185791015625e-07,4.291534423828125e-06
77,760,720,0,8,1.2636184692382812e-05,0.0003826618194580078,0.0,4.291534423828125e-06
78,760,728,0,8,1.2874603271484375e-05,0.00038695335388183594,2.384185791015625e-07,4.291534423828125e-06
79,760,736,0,8,1.3113021850585938e-05,0.00039124488830566406,2.384185791015625e-07,4.291534423828125e-06
80,760,744,0,8,1.33514404296875e-05,0.0003960132598876953,2.384185791015625e-07,4.76837158203125e-06
81,760,752,0,8,1.3589859008789062e-05,0.00040030479431152344,2.384185791015625e-07,4.291534423828125e-06
82,760,760,0,8,1.3589859008789062e-05,0.00040459632873535156,0.0,4.291534423828125e-06
83,760,768,0,8,1.3589859008789062e-05,0.00040912628173828125,0.0,4.5299530029296875e-06
84,760,776,0,8,1.3589859008789062e-05,0.0004134178161621094,0.0,4.291534423828125e-06
85,760,784,0,8,1.3589859008789062e-05,0.0004177093505859375,0.0,4.291534423828125e-06
86,760,792,0,8,1.4066696166992188e-05,0.0004220008850097656,4.76837158203125e-07,4.291534423828125e-06
87,760,800,0,8,1.4543533325195312e-05,0.0004296302795410156,4.76837158203125e-07,7.62939453125e-06
88,760,808,0,8,1.4543533325195312e-05,0.0004343986511230469,0.0,4.76837158203125e-06
89,904,816,144,8,1.5020370483398438e-05,0.00043892860412597656,4.76837158203125e-07,4.5299530029296875e-06
90,904,824,0,8,1.5020370483398438e-05,0.00044345855712890625,0.0,4.5299530029296875e-06
91,904,832,0,8,1.52587890625e-05,0.0004482269287109375,2.384185791015625e-07,4.76837158203125e-06
92,904,840,0,8,1.52587890625e-05,0.0004532337188720703,0.0,5.0067901611328125e-06
93,904,848,0,8,1.52587890625e-05,0.00045752525329589844,0.0,4.291534423828125e-06
94,904,856,0,8,1.52587890625e-05,0.0004620552062988281,0.0,4.5299530029296875e-06
95,904,864,0,8,1.5497207641601562e-05,0.0004668235778808594,2.384185791015625e-07,4.76837158203125e-06
96,904,872,0,8,1.5735626220703125e-05,0.0004715919494628906,2.384185791015625e-07,4.76837158203125e-06
97,904,880,0,8,1.5735626220703125e-05,0.0004763603210449219,0.0,4.76837158203125e-06
98,904,888,0,8,1.5735626220703125e-05,0.0004811286926269531,0.0,4.76837158203125e-06
99,904,896,0,8,1.5974044799804688e-05,0.00048542022705078125,2.384185791015625e-07,4.291534423828125e-06
100,904,904,0,8,1.5974044799804688e-05,0.0004897117614746094,0.0,4.291534423828125e-06
101,904,912,0,8,1.5974044799804688e-05,0.0004940032958984375,0.0,4.291534423828125e-06
102,904,920,0,8,1.621246337890625e-05,0.0004982948303222656,2.384185791015625e-07,4.291534423828125e-06
103,904,928,0,8,1.621246337890625e-05,0.0005025863647460938,0.0,4.291534423828125e-06
104,904,936,0,8,1.6450881958007812e-05,0.0005071163177490234,2.384185791015625e-07,4.5299530029296875e-06
105,904,944,0,8,1.6450881958007812e-05,0.0005116462707519531,0.0,4.5299530029296875e-06
106,904,952,0,8,1.6450881958007812e-05,0.0005161762237548828,0.0,4.5299530029296875e-06
107,1064,960,160,8,1.6689300537109375e-05,0.0005204677581787109,2.384185791015625e-07,4.291534423828125e-06
108,1064,968,0,8,1.6689300537109375e-05,0.0005247592926025391,0.0,4.291534423828125e-06
109,1064,976,0,8,1.6689300537109375e-05,0.0005290508270263672,0.0,4.291534423828125e-06
110,1064,984,0,8,1.6689300537109375e-05,0.0005335807800292969,0.0,4.5299530029296875e-06
111,1064,992,0,8,1.6927719116210938e-05,0.0005381107330322266,2.384185791015625e-07,4.5299530029296875e-06
112,1064,1000,0,8,1.71661376953125e-05,0.0005426406860351562,2.384185791015625e-07,4.5299530029296875e-06
113,1064,1008,0,8,1.7642974853515625e-05,0.0005469322204589844,4.76837158203125e-07,4.291534423828125e-06
114,1064,1016,0,8,1.7881393432617188e-05,0.0005517005920410156,2.384185791015625e-07,4.76837158203125e-06
115,1064,1024,0,8,1.7881393432617188e-05,0.0005559921264648438,0.0,4.291534423828125e-06
116,1064,1032,0,8,1.811981201171875e-05,0.0005605220794677734,2.384185791015625e-07,4.5299530029296875e-06
117,1064,1040,0,8,1.8358230590820312e-05,0.0005652904510498047,2.384185791015625e-07,4.76837158203125e-06
118,1064,1048,0,8,1.8358230590820312e-05,0.0005698204040527344,0.0,4.5299530029296875e-06
119,1064,1056,0,8,1.8358230590820312e-05,0.0005743503570556641,0.0,4.5299530029296875e-06
120,1064,1064,0,8,1.8596649169921875e-05,0.0005786418914794922,2.384185791015625e-07,4.291534423828125e-06
121,1064,1072,0,8,1.8596649169921875e-05,0.0005829334259033203,0.0,4.291534423828125e-06
122,1064,1080,0,8,1.8596649169921875e-05,0.0005872249603271484,0.0,4.291534423828125e-06
123,1064,1088,0,8,1.8596649169921875e-05,0.0005915164947509766,0.0,4.291534423828125e-06
124,1064,1096,0,8,1.8596649169921875e-05,0.0005960464477539062,0.0,4.5299530029296875e-06
125,1064,1104,0,8,1.8596649169921875e-05,0.0006000995635986328,0.0,4.0531158447265625e-06
126,1064,1112,0,8,1.8835067749023438e-05,0.0006043910980224609,2.384185791015625e-07,4.291534423828125e-06
127,1240,1120,176,8,1.9073486328125e-05,0.0006086826324462891,2.384185791015625e-07,4.291534423828125e-06
128,1240,1128,0,8,1.9073486328125e-05,0.0006132125854492188,0.0,4.5299530029296875e-06
129,1240,1136,0,8,1.9311904907226562e-05,0.0006177425384521484,2.384185791015625e-07,4.5299530029296875e-06
130,1240,1144,0,8,1.9311904907226562e-05,0.0006220340728759766,0.0,4.291534423828125e-06
131,1240,1152,0,8,1.9550323486328125e-05,0.0006334781646728516,2.384185791015625e-07,1.1444091796875e-05
