Wiederholung,Speicher Liste gesamt,Speicher Array gesamt,Speicherveraenderung Liste,Speicherveraenderung Array,Gesamtlaufzeit Liste,Gesamtlaufzeit Array,Gesamtlaufzeitveraenderung Liste,Gesamtlaufzeitveraenderung Array
1,88,112,32,8,2.384185791015625e-07,1.5974044799804688e-05,2.384185791015625e-07,1.5974044799804688e-05
2,88,120,0,8,2.384185791015625e-07,2.288818359375e-05,0.0,6.9141387939453125e-06
3,88,128,0,8,4.76837158203125e-07,2.8133392333984375e-05,2.384185791015625e-07,5.245208740234375e-06
4,88,136,0,8,7.152557373046875e-07,3.314018249511719e-05,2.384185791015625e-07,5.0067901611328125e-06
5,120,144,32,8,7.152557373046875e-07,3.814697265625e-05,0.0,5.0067901611328125e-06
6,120,152,0,8,7.152557373046875e-07,4.267692565917969e-05,0.0,4.5299530029296875e-06
7,120,160,0,8,9.5367431640625e-07,4.696846008300781e-05,2.384185791015625e-07,4.291534423828125e-06
8,120,168,0,8,1.1920928955078125e-06,5.125999450683594e-05,2.384185791015625e-07,4.291534423828125e-06
9,184,176,64,8,1.430511474609375e-06,5.555152893066406e-05,2.384185791015625e-07,4.291534423828125e-06
10,184,184,0,8,1.6689300537109375e-06,5.984306335449219e-05,2.384185791015625e-07,4.291534423828125e-06
11,184,192,0,8,1.9073486328125e-06,6.413459777832031e-05,2.384185791015625e-07,4.291534423828125e-06
12,184,200,0,8,1.9073486328125e-06,6.842613220214844e-05,0.0,4.291534423828125e-06
13,184,208,0,8,2.1457672119140625e-06,7.271766662597656e-05,2.384185791015625e-07,4.291534423828125e-06
14,184,216,0,8,2.1457672119140625e-06,7.677078247070312e-05,0.0,4.0531158447265625e-06
15,184,224,0,8,2.6226043701171875e-06,8.106231689453125e-05,4.76837158203125e-07,4.291534423828125e-06
16,184,232,0,8,2.86102294921875e-06,8.559226989746094e-05,2.384185791015625e-07,4.5299530029296875e-06
17,256,240,72,8,3.337860107421875e-06,9.012222290039062e-05,4.76837158203125e-07,4.5299530029296875e-06
18,256,248,0,8,3.814697265625e-06,9.441375732421875e-05,4.76837158203125e-07,4.291534423828125e-06
19,256,256,0,8,3.814697265625e-06,9.894371032714844e-05,0.0,4.5299530029296875e-06
20,256,264,0,8,4.0531158447265625e-06,0.00010347366333007812,2.384185791015625e-07,4.5299530029296875e-06
21,256,272,0,8,4.5299530029296875e-06,0.00010800361633300781,4.76837158203125e-07,4.5299530029296875e-06
22,256,280,0,8,4.5299530029296875e-06,0.00011205673217773438,0.0,4.0531158447265625e-06
23,256,288,0,8,4.5299530029296875e-06,0.00011658668518066406,0.0,4.5299530029296875e-06
24,256,296,0,8,4.76837158203125e-06,0.00012111663818359375,2.384185791015625e-07,4.5299530029296875e-06
25,256,304,0,8,4.76837158203125e-06,0.00012564659118652344,0.0,4.5299530029296875e-06
26,336,312,80,8,5.245208740234375e-06,0.00012993812561035156,4.76837158203125e-07,4.291534423828125e-06
27,336,320,0,8,5.4836273193359375e-06,0.00013446807861328125,2.384185791015625e-07,4.5299530029296875e-06
28,336,328,0,8,5.4836273193359375e-06,0.00013899803161621094,0.0,4.5299530029296875e-06
29,336,336,0,8,5.4836273193359375e-06,0.00014352798461914062,0.0,4.5299530029296875e-06
30,336,344,0,8,5.4836273193359375e-06,0.0001475811004638672,0.0,4.0531158447265625e-06
31,336,352,0,8,5.7220458984375e-06,0.0001518726348876953,2.384185791015625e-07,4.291534423828125e-06
32,336,360,0,8,5.9604644775390625e-06,0.00015616416931152344,2.384185791015625e-07,4.291534423828125e-06
33,336,368,0,8,6.198883056640625e-06,0.00016045570373535156,2.384185791015625e-07,4.291534423828125e-06
34,336,376,0,8,6.4373016357421875e-06,0.0001647472381591797,2.384185791015625e-07,4.291534423828125e-06
35,336,384,0,8,6.67572021484375e-06,0.0001690387725830078,2.384185791015625e-07,4.291534423828125e-06
36,424,392,88,8,6.9141387939453125e-06,0.00017333030700683594,2.384185791015625e-07,4.291534423828125e-06
37,424,400,0,8,7.152557373046875e-06,0.00017762184143066406,2.384185791015625e-07,4.291534423828125e-06
38,424,408,0,8,7.152557373046875e-06,0.00018167495727539062,0.0,4.0531158447265625e-06
39,424,416,0,8,7.62939453125e-06,0.00018596649169921875,4.76837158203125e-07,4.291534423828125e-06
40,424,424,0,8,8.106231689453125e-06,0.00019025802612304688,4.76837158203125e-07,4.291534423828125e-06
41,424,432,0,8,8.58306884765625e-06,0.00019478797912597656,4.76837158203125e-07,4.5299530029296875e-06
42,424,440,0,8,8.821487426757812e-06,0.00019931793212890625,2.384185791015625e-07,4.5299530029296875e-06
43,424,448,0,8,9.059906005859375e-06,0.00021004676818847656,2.384185791015625e-07,1.0728836059570312e-05
44,424,456,0,8,9.298324584960938e-06,0.00021600723266601562,2.384185791015625e-07,5.9604644775390625e-06
45,424,464,0,8,9.298324584960938e-06,0.00022077560424804688,0.0,4.76837158203125e-06
46,424,472,0,8,9.5367431640625e-06,0.00022530555725097656,2.384185791015625e-07,4.5299530029296875e-06
47,520,480,96,8,9.775161743164062e-06,0.0002300739288330078,2.384185791015625e-07,4.76837158203125e-06
48,520,488,0,8,1.0013580322265625e-05,0.0002346038818359375,2.384185791015625e-07,4.5299530029296875e-06
49,520,496,0,8,1.0251998901367188e-05,0.0002391338348388672,2.384185791015625e-07,4.5299530029296875e-06
50,520,504,0,8,1.0251998901367188e-05,0.00024366378784179688,0.0,4.5299530029296875e-06
51,520,512,0,8,1.049041748046875e-05,0.0002484321594238281,2.384185791015625e-07,4.76837158203125e-06
52,520,520,0,8,1.049041748046875e-05,0.0002529621124267578,0.0,4.5299530029296875e-06
53,520,528,0,8,1.0728836059570312e-05,0.00025725364685058594,2.384185791015625e-07,4.291534423828125e-06
54,520,536,0,8,1.0967254638671875e-05,0.00026226043701171875,2.384185791015625e-07,5.0067901611328125e-06
55,520,544,0,8,1.0967254638671875e-05,0.00026702880859375,0.0,4.76837158203125e-06
56,520,552,0,8,1.1205673217773438e-05,0.0002715587615966797,2.384185791015625e-07,4.5299530029296875e-06
57,520,560,0,8,1.1444091796875e-05,0.0002760887145996094,2.384185791015625e-07,4.5299530029296875e-06
58,520,568,0,8,1.1920928955078125e-05,0.0002803802490234375,4.76837158203125e-07,4.291534423828125e-06
59,632,576,112,8,1.2636184692382812e-05,0.0002849102020263672,7.152557373046875e-07,4.5299530029296875e-06
60,632,584,0,8,1.2874603271484375e-05,0.0002894401550292969,2.384185791015625e-07,4.5299530029296875e-06
61,632,592,0,8,1.3113021850585938e-05,0.000293731689453125,2.384185791015625e-07,4.291534423828125e-06
62,632,600,0,8,1.33514404296875e-05,0.0002982616424560547,2.384185791015625e-07,4.5299530029296875e-06
63,632,608,0,8,1.33514404296875e-05,0.0003025531768798828,0.0,4.291534423828125e-06
64,632,616,0,8,1.33514404296875e-05,0.0003070831298828125,0.0,4.5299530029296875e-06
65,632,624,0,8,1.33514404296875e-05,0.0003113746643066406,0.0,4.291534423828125e-06
66,632,632,0,8,1.3589859008789062e-05,0.0003159046173095703,2.384185791015625e-07,4.5299530029296875e-06
67,632,640,0,8,1.3828277587890625e-05,0.00032019615173339844,2.384185791015625e-07,4.291534423828125e-06
68,632,648,0,8,1.3828277587890625e-05,0.0003247261047363281,0.0,4.5299530029296875e-06
69,632,656,0,8,1.3828277587890625e-05,0.00032901763916015625,0.0,4.291534423828125e-06
70,632,664,0,8,1.3828277587890625e-05,0.00033354759216308594,0.0,4.5299530029296875e-06
71,632,672,0,8,1.4066696166992188e-05,0.0003383159637451172,2.384185791015625e-07,4.76837158203125e-06
72,632,680,0,8,1.4066696166992188e-05,0.00034308433532714844,0.0,4.76837158203125e-06
73,760,688,128,8,1.4543533325195312e-05,0.0003478527069091797,4.76837158203125e-07,4.76837158203125e-06
74,760,696,0,8,1.4543533325195312e-05,0.0003521442413330078,0.0,4.291534423828125e-06
75,760,704,0,8,1.4543533325195312e-05,0.00035691261291503906,0.0,4.76837158203125e-06
76,760,712,0,8,1.4543533325195312e-05,0.0003616809844970703,0.0,4.76837158203125e-06
77,760,720,0,8,1.4543533325195312e-05,0.0003662109375,0.0,4.5299530029296875e-06
78,760,728,0,8,1.4781951904296875e-05,0.0003705024719238281,2.384185791015625e-07,4.291534423828125e-06
79,760,736,0,8,1.5020370483398438e-05,0.00037479400634765625,2.384185791015625e-07,4.291534423828125e-06
80,760,744,0,8,1.5020370483398438e-05,0.00037932395935058594,0.0,4.5299530029296875e-06
