Wiederholung,Speicher Liste gesamt,Speicher Array gesamt,Speicherveraenderung Liste,Speicherveraenderung Array,Gesamtlaufzeit Liste,Gesamtlaufzeit Array,Gesamtlaufzeitveraenderung Liste,Gesamtlaufzeitveraenderung Array
1,88,112,32,8,2.384185791015625e-07,1.5020370483398438e-05,2.384185791015625e-07,1.5020370483398438e-05
2,88,120,0,8,4.76837158203125e-07,2.1219253540039062e-05,2.384185791015625e-07,6.198883056640625e-06
3,88,128,0,8,4.76837158203125e-07,2.6702880859375e-05,0.0,5.4836273193359375e-06
4,88,136,0,8,7.152557373046875e-07,3.1948089599609375e-05,2.384185791015625e-07,5.245208740234375e-06
5,120,144,32,8,9.5367431640625e-07,3.695487976074219e-05,2.384185791015625e-07,5.0067901611328125e-06
6,120,152,0,8,9.5367431640625e-07,4.220008850097656e-05,0.0,5.245208740234375e-06
7,120,160,0,8,9.5367431640625e-07,4.696846008300781e-05,0.0,4.76837158203125e-06
8,120,168,0,8,9.5367431640625e-07,5.173683166503906e-05,0.0,4.76837158203125e-06
9,184,176,64,8,1.1920928955078125e-06,5.650520324707031e-05,2.384185791015625e-07,4.76837158203125e-06
10,184,184,0,8,1.430511474609375e-06,6.127357482910156e-05,2.384185791015625e-07,4.76837158203125e-06
11,184,192,0,8,1.430511474609375e-06,6.580352783203125e-05,0.0,4.5299530029296875e-06
12,184,200,0,8,1.9073486328125e-06,7.033348083496094e-05,4.76837158203125e-07,4.5299530029296875e-06
13,184,208,0,8,1.9073486328125e-06,7.486343383789062e-05,0.0,4.5299530029296875e-06
14,184,216,0,8,1.9073486328125e-06,7.915496826171875e-05,0.0,4.291534423828125e-06
15,184,224,0,8,2.1457672119140625e-06,8.368492126464844e-05,2.384185791015625e-07,4.5299530029296875e-06
16,184,232,0,8,2.1457672119140625e-06,8.797645568847656e-05,0.0,4.291534423828125e-06
17,256,240,72,8,2.384185791015625e-06,9.250640869140625e-05,2.384185791015625e-07,4.5299530029296875e-06
18,256,248,0,8,2.6226043701171875e-06,9.72747802734375e-05,2.384185791015625e-07,4.76837158203125e-06
19,256,256,0,8,2.6226043701171875e-06,0.00010180473327636719,0.0,4.5299530029296875e-06
20,256,264,0,8,2.6226043701171875e-06,0.00010633468627929688,0.0,4.5299530029296875e-06
21,256,272,0,8,2.86102294921875e-06,0.00011086463928222656,2.384185791015625e-07,4.5299530029296875e-06
22,256,280,0,8,3.0994415283203125e-06,0.00011539459228515625,2.384185791015625e-07,4.5299530029296875e-06
23,256,288,0,8,3.0994415283203125e-06,0.00011992454528808594,0.0,4.5299530029296875e-06
24,256,296,0,8,3.0994415283203125e-06,0.00012445449829101562,0.0,4.5299530029296875e-06
25,256,304,0,8,3.0994415283203125e-06,0.00012874603271484375,0.0,4.291534423828125e-06
26,336,312,80,8,3.5762786865234375e-06,0.00013327598571777344,4.76837158203125e-07,4.5299530029296875e-06
27,336,320,0,8,3.814697265625e-06,0.00013780593872070312,2.384185791015625e-07,4.5299530029296875e-06
28,336,328,0,8,4.0531158447265625e-06,0.0001423358917236328,2.384185791015625e-07,4.5299530029296875e-06
29,336,336,0,8,4.0531158447265625e-06,0.0001468658447265625,0.0,4.5299530029296875e-06
30,336,344,0,8,4.0531158447265625e-06,0.0001518726348876953,0.0,5.0067901611328125e-06
31,336,352,0,8,4.0531158447265625e-06,0.00015616416931152344,0.0,4.291534423828125e-06
32,336,360,0,8,4.291534423828125e-06,0.00016069412231445312,2.384185791015625e-07,4.5299530029296875e-06
33,336,368,0,8,4.291534423828125e-06,0.00016570091247558594,0.0,5.0067901611328125e-06
34,336,376,0,8,4.291534423828125e-06,0.0001704692840576172,0.0,4.76837158203125e-06
35,336,384,0,8,4.5299530029296875e-06,0.00017523765563964844,2.384185791015625e-07,4.76837158203125e-06
36,424,392,88,8,4.76837158203125e-06,0.0001800060272216797,2.384185791015625e-07,4.76837158203125e-06
37,424,400,0,8,5.245208740234375e-06,0.0001914501190185547,4.76837158203125e-07,1.1444091796875e-05
38,424,408,0,8,5.245208740234375e-06,0.00019669532775878906,0.0,5.245208740234375e-06
39,424,416,0,8,5.4836273193359375e-06,0.00020194053649902344,2.384185791015625e-07,5.245208740234375e-06
40,424,424,0,8,5.9604644775390625e-06,0.00020647048950195312,4.76837158203125e-07,4.5299530029296875e-06
41,424,432,0,8,6.198883056640625e-06,0.0002110004425048828,2.384185791015625e-07,4.5299530029296875e-06
42,424,440,0,8,6.198883056640625e-06,0.00021529197692871094,0.0,4.291534423828125e-06
43,424,448,0,8,6.4373016357421875e-06,0.00021982192993164062,2.384185791015625e-07,4.5299530029296875e-06
44,424,456,0,8,6.67572021484375e-06,0.0002243518829345703,2.384185791015625e-07,4.5299530029296875e-06
